month,bidding_no,vehicle_class,premium
2009-09,1,CLSL:1001,120
2009-09,1,CLSL:1002,82
2009-09,1,CLSL:2001,48
2009-09,1,CLSL:2002,46
2010-09,1,CLSL:1001,92
2010-09,1,CLSL:1002,56
2010-09,1,CLSL:2001,41
2010-09,1,CLSL:2002,49
2011-09,1,CLSL:1001,116
2011-09,1,CLSL:1002,51
2011-09,1,CLSL:2001,49
2011-09,1,CLSL:2002,44
2012-09,1,CLSL:1001,90
2012-09,1,CLSL:1002,51
2012-09,1,CLSL:2001,42
2012-09,1,CLSL:2002,28
2013-09,1,CLSL:1001,95
2013-09,1,CLSL:1002,63
2013-09,1,CLSL:2001,38
2013-09,1,CLSL:2002,36
2014-09,1,CLSL:1001,102
2014-09,1,CLSL:1002,56
2014-09,1,CLSL:2001,47
2014-09,1,CLSL:2002,48
2015-09,1,CLSL:1001,114
2015-09,1,CLSL:1002,46
2015-09,1,CLSL:2001,32
2015-09,1,CLSL:2002,33
2016-09,1,CLSL:1001,93
2016-09,1,CLSL:1002,59
2016-09,1,CLSL:2001,48
2016-09,1,CLSL:2002,34
2017-05,1,CLSL:1001,69
2017-05,1,CLSL:1002,29
2017-05,1,CLSL:2001,36
2017-05,1,CLSL:2002,38
2018-05,1,CLSL:1001,85
2018-05,1,CLSL:1002,56
2018-05,1,CLSL:2001,27
2018-05,1,CLSL:2002,20
2019-05,1,CLSL:1001,61
2019-05,1,CLSL:1002,45
2019-05,1,CLSL:2001,45
2019-05,1,CLSL:2002,37
2020-05,1,CLSL:1001,59
2020-05,1,CLSL:1002,41
2020-05,1,CLSL:2001,32
2020-05,1,CLSL:2002,31
2021-05,1,CLSL:1001,52
2021-05,1,CLSL:1002,17
2021-05,1,CLSL:2001,32
2021-05,1,CLSL:2002,32
2008-12,2,CLSL:1001,75
2008-12,2,CLSL:1002,20
2008-12,2,CLSL:2001,32
2008-12,2,CLSL:2002,18
2009-05,2,CLSL:1001,34
2009-05,2,CLSL:1002,48
2009-05,2,CLSL:2001,12
2009-05,2,CLSL:2002,27
2009-09,2,CLSL:1001,11
2009-09,2,CLSL:1002,14
2009-09,2,CLSL:2001,4
2009-09,2,CLSL:2002,1
2009-12,2,CLSL:1001,65
2009-12,2,CLSL:1002,9
2009-12,2,CLSL:2001,33
2009-12,2,CLSL:2002,14
2010-05,2,CLSL:1001,21
2010-05,2,CLSL:1002,38
2010-05,2,CLSL:2001,4
2010-05,2,CLSL:2002,33
2010-09,2,CLSL:1001,6
2010-09,2,CLSL:1002,9
2010-09,2,CLSL:2001,4
2010-09,2,CLSL:2002,2
2010-12,2,CLSL:1001,68
2010-12,2,CLSL:1002,7
2010-12,2,CLSL:2001,40
2010-12,2,CLSL:2002,3
2011-05,2,CLSL:1001,38
2011-05,2,CLSL:1002,34
2011-05,2,CLSL:2001,2
2011-05,2,CLSL:2002,37
2011-09,2,CLSL:1001,10
2011-09,2,CLSL:1002,10
2011-09,2,CLSL:2001,7
2011-09,2,CLSL:2002,4
2011-12,2,CLSL:1001,57
2011-12,2,CLSL:1002,16
2011-12,2,CLSL:2001,24
2011-12,2,CLSL:2002,4
2012-05,2,CLSL:1001,30
2012-05,2,CLSL:1002,34
2012-05,2,CLSL:2001,14
2012-05,2,CLSL:2002,21
2012-09,2,CLSL:1001,3
2012-09,2,CLSL:1002,1
2012-09,2,CLSL:2001,4
2012-09,2,CLSL:2002,3
2012-12,2,CLSL:1001,62
2012-12,2,CLSL:1002,16
2012-12,2,CLSL:2001,20
2012-12,2,CLSL:2002,10
2013-05,2,CLSL:1001,29
2013-05,2,CLSL:1002,44
2013-05,2,CLSL:2001,17
2013-05,2,CLSL:2002,20
2013-09,2,CLSL:1001,4
2013-09,2,CLSL:1002,3
2013-09,2,CLSL:2001,1
2013-09,2,CLSL:2002,6
2013-12,2,CLSL:1001,65
2013-12,2,CLSL:1002,14
2013-12,2,CLSL:2001,36
2013-12,2,CLSL:2002,14
2014-05,2,CLSL:1001,33
2014-05,2,CLSL:1002,39
2014-05,2,CLSL:2001,11
2014-05,2,CLSL:2002,33
2014-09,2,CLSL:1001,4
2014-09,2,CLSL:1002,3
2014-09,2,CLSL:2001,0
2014-09,2,CLSL:2002,1
2014-12,2,CLSL:1001,64
2014-12,2,CLSL:1002,11
2014-12,2,CLSL:2001,25
2014-12,2,CLSL:2002,10
2015-05,2,CLSL:1001,44
2015-05,2,CLSL:1002,34
2015-05,2,CLSL:2001,6
2015-05,2,CLSL:2002,23
2015-09,2,CLSL:1001,6
2015-09,2,CLSL:1002,1
2015-09,2,CLSL:2001,1
2015-09,2,CLSL:2002,0
2015-12,2,CLSL:1001,54
2015-12,2,CLSL:1002,15
2015-12,2,CLSL:2001,30
2015-12,2,CLSL:2002,6
2016-05,2,CLSL:1001,30
2016-05,2,CLSL:1002,40
2016-05,2,CLSL:2001,15
2016-05,2,CLSL:2002,26
2016-09,2,CLSL:1001,9
2016-09,2,CLSL:1002,4
2016-09,2,CLSL:2001,3
2016-09,2,CLSL:2002,2
2016-12,2,CLSL:1001,36
2016-12,2,CLSL:1002,11
2016-12,2,CLSL:2001,26
2016-12,2,CLSL:2002,16
2017-05,2,CLSL:1001,33
2017-05,2,CLSL:1002,18
2017-05,2,CLSL:2001,10
2017-05,2,CLSL:2002,22
2017-12,2,CLSL:1001,59
2017-12,2,CLSL:1002,18
2017-12,2,CLSL:2001,16
2017-12,2,CLSL:2002,9
2018-05,2,CLSL:1001,26
2018-05,2,CLSL:1002,38
2018-05,2,CLSL:2001,11
2018-05,2,CLSL:2002,11
2018-12,2,CLSL:1001,42
2018-12,2,CLSL:1002,13
2018-12,2,CLSL:2001,33
2018-12,2,CLSL:2002,5
2019-05,2,CLSL:1001,19
2019-05,2,CLSL:1002,32
2019-05,2,CLSL:2001,12
2019-05,2,CLSL:2002,32
2019-12,2,CLSL:1001,42
2019-12,2,CLSL:1002,11
2019-12,2,CLSL:2001,21
2019-12,2,CLSL:2002,13
2020-05,2,CLSL:1001,17
2020-05,2,CLSL:1002,30
2020-05,2,CLSL:2001,11
2020-05,2,CLSL:2002,18
2020-12,2,CLSL:1001,27
2020-12,2,CLSL:1002,4
2020-12,2,CLSL:2001,25
2020-12,2,CLSL:2002,8
2021-05,2,CLSL:1001,25
2021-05,2,CLSL:1002,13
2021-05,2,CLSL:2001,7
2021-05,2,CLSL:2002,24
2021-12,2,CLSL:1001,22
2021-12,2,CLSL:1002,14
2021-12,2,CLSL:2001,19
2021-12,2,CLSL:2002,5
